technology,airbending,source,DataManager@27.03.2019 13:31:40
@data
material,sheetThicknessMM,punchRadiusMM,dieWidthMM,angleDEG,bendDeductionTanMM,bendDeductionEdgeMM,radiusMM
QStE380TM,6,4,30,158.3,-1.39,0,27.3
QStE380TM,6,4,30,162.3,-1.11,0,31.8
QStE380TM,6,4,30,166.2,-0.84,0,68.2
QStE380TM,6,4,30,170,-0.59,0,103.8
QStE380TM,6,4,30,173.8,-0.37,0,176
QStE380TM,6,4,30,177.5,-0.14,0,249
QStE380TM,6,4,40,87.9,-10.95,-9.87,5.9
QStE380TM,6,4,40,90,-10.49,-10.49,6.1
QStE380TM,6,4,40,90.2,-10.44,0,6.1
QStE380TM,6,4,40,92.2,-10,0,6.2
QStE380TM,6,4,40,94.3,-9.51,0,6.4
QStE380TM,6,4,40,96.7,-9,0,6.5
QStE380TM,6,4,40,99,-8.51,0,6.6
QStE380TM,6,4,40,101.4,-8.05,0,6.9
QStE380TM,6,4,40,104.1,-7.54,0,7.1
QStE380TM,6,4,40,105,-7.38,0,7.2
QStE380TM,6,4,40,106.5,-7.11,0,7.6
QStE380TM,6,4,40,109,-6.7,0,7.7
QStE380TM,6,4,40,111.9,-6.24,0,8
QStE380TM,6,4,40,114.5,-5.86,0,8.3
QStE380TM,6,4,40,117.2,-5.49,0,8.4
QStE380TM,6,4,40,119.9,-5.12,0,8.9
QStE380TM,6,4,40,120,-5.11,0,9
QStE380TM,6,4,40,122.7,-4.77,0,9.3
QStE380TM,6,4,40,125.5,-4.42,0,9.6
QStE380TM,6,4,40,128.4,-4.09,0,10.5
QStE380TM,6,4,40,131.3,-3.78,0,11
QStE380TM,6,4,40,134.2,-3.47,0,11.6
QStE380TM,6,4,40,135,-3.39,0,11.7
QStE380TM,6,4,40,137.1,-3.18,0,12.4
QStE380TM,6,4,40,140,-2.89,0,13
QStE380TM,6,4,40,143,-2.62,0,15
QStE380TM,6,4,40,146,-2.36,0,15.7
QStE380TM,6,4,40,149.3,-2.08,0,17.6
