technology,airbending,source,DataManager@27.03.2019 13:31:39
@data
material,sheetThicknessMM,punchRadiusMM,dieWidthMM,angleDEG,bendDeductionTanMM,bendDeductionEdgeMM,radiusMM
AlMg3,0.5,0.3,5,103.2,-0.837,0,1
AlMg3,0.5,0.3,5,105,-0.811,0,1
AlMg3,0.5,0.3,5,114.2,-0.623,0,1.1
AlMg3,0.5,0.3,5,120,-0.505,0,1.2
AlMg3,0.5,0.3,5,123.5,-0.472,0,1.2
AlMg3,0.5,0.3,5,135,-0.309,0,1.7
AlMg3,0.5,0.3,5,138.1,-0.3,0,1.7
AlMg3,0.5,0.3,5,150,-0.219,0,2.5
AlMg3,0.5,0.3,5,151.2,-0.179,0,2.6
AlMg3,0.5,0.3,5,165.7,-0.077,0,5.7
AlMg3,0.5,0.5,5,30,-8.342,0.151,0.7
AlMg3,0.5,0.5,5,31.9,-7.712,0.114,0.7
AlMg3,0.5,0.5,5,34.4,-6.967,0.071,0.7
AlMg3,0.5,0.5,5,38.3,-5.862,-0.005,0.7
AlMg3,0.5,0.5,5,42.6,-4.927,-0.086,0.7
AlMg3,0.5,0.5,5,45,-4.516,-0.13,0.7
AlMg3,0.5,0.5,5,47.5,-4.092,-0.176,0.7
AlMg3,0.5,0.5,5,53,-3.363,-0.276,0.7
AlMg3,0.5,0.5,5,59.1,-2.76,-0.385,0.7
AlMg3,0.5,0.5,5,60,-2.643,-0.401,0.7
AlMg3,0.5,0.5,5,66.1,-2.222,-0.514,0.7
AlMg3,0.5,0.5,5,74.2,-1.768,-0.673,0.8
AlMg3,0.5,0.5,5,75,-1.726,-0.691,0.8
AlMg3,0.5,0.5,5,83.2,-1.386,-0.89,0.8
AlMg3,0.5,0.5,5,90,-1.2,-1.2,0.8
AlMg3,0.5,0.5,5,91.9,-1.123,0,0.8
AlMg3,0.5,0.5,5,103.2,-0.837,0,1
AlMg3,0.5,0.5,5,105,-0.811,0,1
AlMg3,0.5,0.5,5,114.2,-0.623,0,1.1
AlMg3,0.5,0.5,5,120,-0.505,0,1.2
AlMg3,0.5,0.5,5,123.5,-0.472,0,1.2
AlMg3,0.5,0.5,5,135,-0.309,0,1.7
AlMg3,0.5,0.5,5,138.1,-0.3,0,1.7
AlMg3,0.5,0.5,5,150,-0.219,0,2.5
AlMg3,0.5,0.5,5,151.2,-0.179,0,2.6
AlMg3,0.5,0.5,5,165.7,-0.077,0,5.7
AlMg3,0.5,0.2,6,30,-9.468,0.256,0.8
AlMg3,0.5,0.2,6,31.1,-9.041,0.235,0.8
AlMg3,0.5,0.2,6,33.7,-8.119,0.184,0.8
AlMg3,0.5,0.2,6,36.5,-7.267,0.127,0.8
AlMg3,0.5,0.2,6,40.9,-6.001,0.029,0.8
AlMg3,0.5,0.2,6,45,-5.128,-0.06,0.8
AlMg3,0.5,0.2,6,45.9,-4.923,-0.08,0.8
AlMg3,0.5,0.2,6,51.7,-3.967,-0.204,0.8
AlMg3,0.5,0.2,6,58.3,-3.165,-0.343,0.8
AlMg3,0.5,0.2,6,60,-2.962,-0.378,0.8
AlMg3,0.5,0.2,6,66,-2.471,-0.505,0.9
AlMg3,0.5,0.2,6,74.6,-1.916,-0.701,0.9
AlMg3,0.5,0.2,6,75,-1.888,-0.711,0.9
AlMg3,0.5,0.2,6,84.5,-1.452,-0.98,0.9
AlMg3,0.5,0.2,6,90,-1.282,-1.282,1
AlMg3,0.5,0.2,6,95.5,-1.088,0,1
AlMg3,0.5,0.2,6,105,-0.857,0,1.1
AlMg3,0.5,0.2,6,106.1,-0.823,0,1.1
AlMg3,0.5,0.2,6,119.7,-0.565,0,1.4
AlMg3,0.5,0.2,6,120,-0.536,0,1.4
AlMg3,0.5,0.2,6,132,-0.384,0,1.7
AlMg3,0.5,0.2,6,135,-0.334,0,1.7
AlMg3,0.5,0.2,6,147.1,-0.221,0,2.5
AlMg3,0.5,0.2,6,150,-0.232,0,3.1
AlMg3,0.5,0.2,6,163.5,-0.093,0,5.6
AlMg3,0.5,0.2,6.4,30,-9.468,0.256,0.8
AlMg3,0.5,0.2,6.4,31.1,-9.041,0.235,0.8
AlMg3,0.5,0.2,6.4,33.7,-8.119,0.184,0.8
AlMg3,0.5,0.2,6.4,36.5,-7.267,0.127,0.8
AlMg3,0.5,0.2,6.4,40.9,-6.001,0.029,0.8
AlMg3,0.5,0.2,6.4,45,-5.128,-0.06,0.8
AlMg3,0.5,0.2,6.4,45.9,-4.923,-0.08,0.8
AlMg3,0.5,0.2,6.4,51.7,-3.967,-0.204,0.8
