technology,airbending,source,DataManager@27.03.2019 13:31:43
@data
material,sheetThicknessMM,punchRadiusMM,dieWidthMM,angleDEG,bendDeductionTanMM,bendDeductionEdgeMM,radiusMM
St37,0.5,0.5,5,54.75,-3.066,-0.324,0.6
St37,0.5,0.5,5,60,-2.58,-0.41,0.6
St37,0.5,0.5,5,60.66,-2.575,-0.421,0.6
St37,0.5,0.5,5,67.5,-2.091,-0.538,0.6
St37,0.5,0.5,5,73.65,-1.768,-0.655,0.7
St37,0.5,0.5,5,75,-1.696,-0.683,0.7
St37,0.5,0.5,5,82.79,-1.39,-0.87,0.7
St37,0.5,0.5,5,90,-1.181,-1.181,0.8
St37,0.5,0.5,5,90.87,-1.122,0,0.8
St37,0.5,0.5,5,100.93,-0.861,0,0.9
St37,0.5,0.5,5,105,-0.796,0,0.9
St37,0.5,0.5,5,115.05,-0.599,0,1.1
St37,0.5,0.5,5,120,-0.495,0,1.2
St37,0.5,0.5,5,124.57,-0.453,0,1.3
St37,0.5,0.5,5,135,-0.304,0,1.8
St37,0.5,0.5,5,137.6,-0.301,0,1.8
St37,0.5,0.5,5,150,-0.217,0,2.6
St37,0.5,0.5,5,151.89,-0.171,0,2.7
St37,0.5,0.5,5,166.39,-0.071,0,5.6
St37,0.5,0.2,6,30,-9.182,0.219,0.7
St37,0.5,0.2,6,32.22,-8.363,0.181,0.7
St37,0.5,0.2,6,34.8,-7.54,0.134,0.8
St37,0.5,0.2,6,37.61,-6.737,0.079,0.8
St37,0.5,0.2,6,42.12,-5.566,-0.018,0.8
St37,0.5,0.2,6,45,-4.987,-0.077,0.8
St37,0.5,0.2,6,47.15,-4.56,-0.122,0.8
St37,0.5,0.2,6,52.94,-3.688,-0.238,0.8
St37,0.5,0.2,6,59.6,-2.942,-0.37,0.8
St37,0.5,0.2,6,60,-2.887,-0.379,0.8
St37,0.5,0.2,6,67.45,-2.297,-0.529,0.8
St37,0.5,0.2,6,74.97,-1.868,-0.697,0.8
St37,0.5,0.2,6,75,-1.845,-0.698,0.8
St37,0.5,0.2,6,84.86,-1.422,-0.994,0.9
St37,0.5,0.2,6,90,-1.26,-1.26,0.9
St37,0.5,0.2,6,94.39,-1.108,0,1
St37,0.5,0.2,6,105,-0.849,0,1.1
St37,0.5,0.2,6,105.02,-0.829,0,1.1
St37,0.5,0.2,6,120,-0.533,0,1.4
St37,0.5,0.2,6,120.46,-0.547,0,1.4
St37,0.5,0.2,6,132.79,-0.369,0,1.8
St37,0.5,0.2,6,135,-0.328,0,1.8
St37,0.5,0.2,6,147.88,-0.21,0,2.7
St37,0.5,0.2,6,150,-0.221,0,3
St37,0.5,0.2,6,164.33,-0.085,0,5.5
St37,0.5,0.2,6.4,30,-9.182,0.219,0.7
St37,0.5,0.2,6.4,32.22,-8.363,0.181,0.7
St37,0.5,0.2,6.4,34.8,-7.54,0.134,0.8
St37,0.5,0.2,6.4,37.61,-6.737,0.079,0.8
St37,0.5,0.2,6.4,42.12,-5.566,-0.018,0.8
St37,0.5,0.2,6.4,45,-4.987,-0.077,0.8
St37,0.5,0.2,6.4,47.15,-4.56,-0.122,0.8
St37,0.5,0.2,6.4,52.94,-3.688,-0.238,0.8
St37,0.5,0.2,6.4,59.6,-2.942,-0.37,0.8
